Year,Annual CO₂ emissions (tonnes )
1900,24790624.0
1901,31561696.0
1902,34452592.0
1903,37196928.0
1904,43484352.0
1905,46305632.0
1906,51636752.0
1907,61936256.0
1908,66065584.0
1909,62511504.0
1910,73085808.0
1911,87957984.0
1912,96092064.0
1913,112371216.0
1914,96011456.0
1915,90848880.0
1916,107673968.0
1917,122765984.0
1918,131922320.0
1919,130727856.0
1920,176330000.0
1921,186204480.0
1922,172900496.0
1923,185991968.0
1924,171237040.0
1925,160655408.0
1926,169972960.0
1927,167001456.0
1928,181415632.0
1929,195459744.0
1930,190681888.0
1931,158757456.0
1932,155298640.0
1933,162315200.0
1934,184434768.0
1935,196727488.0
1936,207221184.0
1937,240779760.0
1938,234092960.0
1939,239757504.0
1940,247580144.0
1941,270531440.0
1942,248082112.0
1943,279200464.0
1944,304423440.0
1945,310252864.0
1946,394891264.0
1947,358342864.0
1948,384617408.0
1949,258857936.0
1950,316393728.0
1951,353971712.0
1952,359068336.0
1953,360009984.0
1954,380385488.0
1955,408418752.0
1956,448905952.0
1957,461125392.0
1958,455164064.0
1959,480131814.7
1960,491067101.5
1961,499337985.7
1962,531233509.9
1963,535195164.6
1964,587467518.2
1965,612410345.3
1966,637055062.6
1967,688973699.6
1968,736350850.2
1969,777751653.6
1970,860650880.4
1971,897045881.8
1972,951501259.6
1973,1004426215.0
1974,1046488129.0
1975,1061805869.0
1976,1106039317.0
1977,1136175350.0
1978,1196893132.0
1979,1277810108.0
1980,1319822694.0
1981,1297219740.0
1982,1305738555.0
1983,1258508351.0
1984,1289784767.0
1985,1313088437.0
1986,1315172226.0
1987,1386390338.0
1988,1434020538.0
1989,1501045944.0
1990,1463145039.0
1991,1470984012.0
1992,1503912671.0
1993,1542659203.0
1994,1596755862.0
1995,1619585528.0
1996,1688215148.0
1997,1766940091.0
1998,1848852641.0
1999,1890344212.0
2000,1907022738.0
2001,1930495800.0
2002,1952855792.0
2003,2003975573.0
2004,2011917498.0
2005,2076950414.0
2006,2114866379.0
2007,2168015893.0
2008,2226580254.0
2009,2157619435.0
2010,2253918886.0
2011,2294779338.0
2012,2375405727.0
2013,2406775095.0
2014,2443171356.0
2015,2435553763.0
2016,2415058074.0
2017,2398632318.0
