Year,Annual CO₂ emissions (tonnes )
1900,33913984.0
1901,40417584.0
1902,41626704.0
1903,43993648.0
1904,48452736.0
1905,50750064.0
1906,56674752.0
1907,61229104.0
1908,65468352.0
1909,64944400.0
1910,70257200.0
1911,76889040.0
1912,82963952.0
1913,89430912.0
1914,96799216.0
1915,89178096.0
1916,93988928.0
1917,104189504.0
1918,111191408.0
1919,118794208.0
1920,118713600.0
1921,109722144.0
1922,116757024.0
1923,124491728.0
1924,131911328.0
1925,138261040.0
1926,139261312.0
1927,149938208.0
1928,156951104.0
1929,161223328.0
1930,149864928.0
1931,135263888.0
1932,134509104.0
1933,150967792.0
1934,165143808.0
1935,175296752.0
1936,192198784.0
1937,208236112.0
1938,217568320.0
1939,227439136.0
1940,254439152.0
1941,259451504.0
1942,230355680.0
1943,241050896.0
1944,216366528.0
1945,123476800.0
1946,101569744.0
1947,129947424.0
1948,155020176.0
1949,187545504.0
1950,205370864.0
1951,235954272.0
1952,254816544.0
1953,272330464.0
1954,287067072.0
1955,304097344.0
1956,331705584.0
1957,361772368.0
1958,369602336.0
1959,604497587.9
1960,668260063.4
1961,741388922.5
1962,779377430.3
1963,847966032.0
1964,921666074.6
1965,997006916.3
1966,1065341990.0
1967,1186227083.0
1968,1303008608.0
1969,1439015994.0
1970,1634675993.0
1971,1738779828.0
1972,1826052969.0
1973,1953845863.0
1974,1976266454.0
1975,1983313384.0
1976,2082393703.0
1977,2189029391.0
1978,2225627003.0
1979,2322646613.0
1980,2368006964.0
1981,2345140651.0
1982,2349841861.0
1983,2380035255.0
1984,2481123794.0
1985,2553867714.0
1986,2594606844.0
1987,2680186428.0
1988,2893196806.0
1989,2991494307.0
1990,3034838326.0
1991,3107688000.0
1992,3155372501.0
1993,3204298604.0
1994,3276961735.0
1995,3356212709.0
1996,3465720371.0
1997,3557848400.0
1998,3381144064.0
1999,3494828365.0
2000,3679214015.0
2001,3747595981.0
2002,3867734095.0
2003,3970646033.0
2004,4098304122.0
2005,4138394375.0
2006,4175617147.0
2007,4322472745.0
2008,4368832879.0
2009,4331930170.0
2010,4536618116.0
2011,4792675646.0
2012,4881674338.0
2013,4799612847.0
2014,4802001006.0
2015,4874047023.0
2016,4961164905.0
2017,5071156099.0
