Year,Annual CO₂ emissions (tonnes )
1900,0.0
1901,0.0
1902,95264.0
1903,1963904.0
1904,2088480.0
1905,2297328.0
1906,17110880.0
1907,16839744.0
1908,22731456.0
1909,20837168.0
1910,18748688.0
1911,27846400.0
1912,9786544.0
1913,10757504.0
1914,15106672.0
1915,16088624.0
1916,17964592.0
1917,19851552.0
1918,21042352.0
1919,24255680.0
1920,26769184.0
1921,25288928.0
1922,26633616.0
1923,32151600.0
1924,35093792.0
1925,33221488.0
1926,29590464.0
1927,33525600.0
1928,34115504.0
1929,35819264.0
1930,37922400.0
1931,40260032.0
1932,38600240.0
1933,42216608.0
1934,49273472.0
1935,57627392.0
1936,65039664.0
1937,60576912.0
1938,55304416.0
1939,67157456.0
1940,86100336.0
1941,107615344.0
1942,113869792.0
1943,97304848.0
1944,97865440.0
1945,50350688.0
1946,31275904.0
1947,33587888.0
1948,23852640.0
1949,59309168.0
1950,78647760.0
1951,101723632.0
1952,128221680.0
1953,134102400.0
1954,161256304.0
1955,190890736.0
1956,216348208.0
1957,256348096.0
1958,525380960.0
1959,720152146.7
1960,778979465.8
1961,550958537.3
1962,439342105.3
1963,435517603.7
1964,435703730.3
1965,474680624.9
1966,521458912.9
1967,432223556.9
1968,467805643.0
1969,575944671.2
1970,770167190.3
1971,874016350.7
1972,928893957.8
1973,965646598.3
1974,985085216.0
1975,1142101906.0
1976,1190964535.0
1977,1304402788.0
1978,1455257506.0
1979,1487113084.0
1980,1458886738.0
1981,1442782298.0
1982,1570468325.0
1983,1655810483.0
1984,1802317096.0
1985,1951773228.0
1986,2052242012.0
1987,2191053006.0
1988,2347763494.0
1989,2386884998.0
1990,2420302108.0
1991,2538923968.0
1992,2657112406.0
1993,2835795473.0
1994,3010242208.0
1995,3265056964.0
1996,3408346591.0
1997,3414549286.0
1998,3265902621.0
1999,3258134887.0
2000,3349294776.0
2001,3426144062.0
2002,3782439297.0
2003,4452310296.0
2004,5125894416.0
2005,5771168440.0
2006,6377748016.0
2007,6861750652.0
2008,7375189907.0
2009,7758811768.0
2010,8500542695.0
2011,9388199234.0
2012,9633899303.0
2013,9796527160.0
2014,9820360492.0
2015,9716467840.0
2016,9704479432.0
2017,9838754028.0
