Year,Annual CO₂ emissions (tonnes )
1900,1085027648.0
1901,1071463520.0
1902,1073603296.0
1903,1122601968.0
1904,1137847872.0
1905,1180698352.0
1906,1210274160.0
1907,1342764400.0
1908,1364015600.0
1909,1360926848.0
1910,1383240608.0
1911,1414032864.0
1912,1455644912.0
1913,1576472640.0
1914,1403733360.0
1915,1329823152.0
1916,1389040720.0
1917,1380254448.0
1918,1301027776.0
1919,1095755840.0
1920,1284272304.0
1921,1168412960.0
1922,1304618496.0
1923,1234097488.0
1924,1422412432.0
1925,1410383520.0
1926,1172032992.0
1927,1509392128.0
1928,1503203632.0
1929,1629754528.0
1930,1503932768.0
1931,1366232320.0
1932,1238516272.0
1933,1265692160.0
1934,1367206944.0
1935,1417337792.0
1936,1481150016.0
1937,1621664416.0
1938,1606674992.0
1939,1640530352.0
1940,1703210400.0
1941,1682838560.0
1942,1700605296.0
1943,1688539744.0
1944,1487074704.0
1945,852759360.0
1946,1212058528.0
1947,1369090240.0
1948,1481410160.0
1949,1600468176.0
1950,1678555344.0
1951,1868687632.0
1952,1902257200.0
1953,1937750368.0
1954,2037590704.0
1955,2185748208.0
1956,2295873392.0
1957,2343237920.0
1958,2300786816.0
1959,2474598758.0
1960,2645188374.0
1961,2739401229.0
1962,2898203859.0
1963,3096111111.0
1964,3211239374.0
1965,3269236018.0
1966,3324322051.0
1967,3359622140.0
1968,3545750813.0
1969,3768940969.0
1970,3940223684.0
1971,4031100548.0
1972,4145687906.0
1973,4340557869.0
1974,4278398800.0
1975,4176706152.0
1976,4464283655.0
1977,4422461300.0
1978,4555283225.0
1979,4724499342.0
1980,4619084718.0
1981,4388224890.0
1982,4284779330.0
1983,4241661089.0
1984,4254759568.0
1985,4341638695.0
1986,4340998381.0
1987,4382617156.0
1988,4338447234.0
1989,4396967397.0
1990,4479328893.0
1991,4423024482.0
1992,4278958094.0
1993,4194973674.0
1994,4174499726.0
1995,4221464747.0
1996,4325073851.0
1997,4235932265.0
1998,4228986394.0
1999,4164147220.0
2000,4187334052.0
2001,4259400201.0
2002,4235814501.0
2003,4327781747.0
2004,4337972863.0
2005,4314639655.0
2006,4320409661.0
2007,4274408815.0
2008,4173862503.0
2009,3831829410.0
2010,3951262617.0
2011,3805961187.0
2012,3747240906.0
2013,3659240891.0
2014,3490383183.0
2015,3523491826.0
2016,3503031204.0
2017,3543683484.0
