Year,Annual CO₂ emissions (tonnes )
1900,130412752.0
1901,133743328.0
1902,132083536.0
1903,131838048.0
1904,140789200.0
1905,133853248.0
1906,147182880.0
1907,161446832.0
1908,164066592.0
1909,169045968.0
1910,166462848.0
1911,171775648.0
1912,189604672.0
1913,205282928.0
1914,183610368.0
1915,175615520.0
1916,184944064.0
1917,165942560.0
1918,98121920.0
1919,92343792.0
1920,92581952.0
1921,88991232.0
1922,98429696.0
1923,107311232.0
1924,125942672.0
1925,123139712.0
1926,146226576.0
1927,172790576.0
1928,187574816.0
1929,205422160.0
1930,237500480.0
1931,264694688.0
1932,282003424.0
1933,302426560.0
1934,352557408.0
1935,392051664.0
1936,444205040.0
1937,464895648.0
1938,492042224.0
1939,506984016.0
1940,588317488.0
1941,516004784.0
1942,387951648.0
1943,479133952.0
1944,448191472.0
1945,313261008.0
1946,227673632.0
1947,286524800.0
1948,266651264.0
1949,289551264.0
1950,281849536.0
1951,279739072.0
1952,302683040.0
1953,338249488.0
1954,390443168.0
1955,458029312.0
1956,529437008.0
1957,632058320.0
1958,745360192.0
1959,1212584835.0
1960,1267046015.0
1961,1307252943.0
1962,1374340134.0
1963,1477508914.0
1964,1570580761.0
1965,1664783580.0
1966,1757793485.0
1967,1835192549.0
1968,1892444152.0
1969,1971143637.0
1970,2088371059.0
1971,2213979186.0
1972,2323758559.0
1973,2430569895.0
1974,2509335271.0
1975,2633068716.0
1976,2732485865.0
1977,2822049662.0
1978,2927058745.0
1979,2954544417.0
1980,3064906153.0
1981,3018850793.0
1982,3064047902.0
1983,3111110091.0
1984,3144108476.0
1985,3379569781.0
1986,3400685348.0
1987,3526077838.0
1988,3622947346.0
1989,3557474643.0
1990,3588665839.0
1991,3344481431.0
1992,2851242222.0
1993,2643142056.0
1994,2304247120.0
1995,2241846498.0
1996,2184106447.0
1997,2072332986.0
1998,2040885319.0
1999,2020369125.0
2000,1998270423.0
2001,2064509290.0
2002,2049497389.0
2003,2102589199.0
2004,2122582909.0
2005,2146674025.0
2006,2233558141.0
2007,2233026493.0
2008,2260162680.0
2009,2089201625.0
2010,2198211590.0
2011,2267829823.0
2012,2271867164.0
2013,2205194590.0
2014,2154822875.0
2015,2129327572.0
2016,2142326657.0
2017,2149072913.0
