Year,Annual CO₂ emissions (tonnes )
1900,13051168.0
1901,14395856.0
1902,15876112.0
1903,16165568.0
1904,18067184.0
1905,18473888.0
1906,21342800.0
1907,23816000.0
1908,27249168.0
1909,26318512.0
1910,25695632.0
1911,27113600.0
1912,31217280.0
1913,34437936.0
1914,34716400.0
1915,36277264.0
1916,36680304.0
1917,38358416.0
1918,43158256.0
1919,47122704.0
1920,38160560.0
1921,41044128.0
1922,40388272.0
1923,41575408.0
1924,44510272.0
1925,43916704.0
1926,43792128.0
1927,45931904.0
1928,44198832.0
1929,45994192.0
1930,46756304.0
1931,42824832.0
1932,39816688.0
1933,39087552.0
1934,43645568.0
1935,45602144.0
1936,44818048.0
1937,49643536.0
1938,55575552.0
1939,54403072.0
1940,57697008.0
1941,58957424.0
1942,58898800.0
1943,51296000.0
1944,52461152.0
1945,58195312.0
1946,57499152.0
1947,58602016.0
1948,58620336.0
1949,61881296.0
1950,66604192.0
1951,69722256.0
1952,73492512.0
1953,74877504.0
1954,78739360.0
1955,85440816.0
1956,88456288.0
1957,99235776.0
1958,103724176.0
1959,109818753.1
1960,120576041.5
1961,130392926.5
1962,143451843.1
1963,154068161.4
1964,150638991.1
1965,165961362.8
1966,171688393.5
1967,172093127.1
1968,187104611.6
1969,190400378.4
1970,194728956.0
1971,205329544.8
1972,217181944.9
1973,223602295.0
1974,231184714.5
1975,251193313.9
1976,262531754.5
1977,277648315.9
1978,281539159.7
1979,295299010.0
1980,312484903.3
1981,337105182.8
1982,347815634.1
1983,376676324.9
1984,385928830.6
1985,424256027.2
1986,455066525.5
1987,486067297.8
1988,525081666.9
1989,576404547.7
1990,616579098.4
1991,656740892.9
1992,698756949.7
1993,722894259.4
1994,764241966.7
1995,811460787.1
1996,878826964.5
1997,915049313.0
1998,933549258.1
1999,995233071.6
2000,1029637759.0
2001,1035640714.0
2002,1047595651.0
2003,1091873009.0
2004,1145545234.0
2005,1210145667.0
2006,1287149211.0
2007,1390253491.0
2008,1547991039.0
2009,1720120560.0
2010,1700027394.0
2011,1817171600.0
2012,1983758813.0
2013,1997878578.0
2014,2207533892.0
2015,2276407195.0
2016,2377447863.0
2017,2466765373.0
