Year,Annual CO₂ emissions (tonnes )
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,213369376.0
1960,238240608.0
1961,263240080.0
1962,272612592.0
1963,285136144.0
1964,312103184.0
1965,322618864.0
1966,349047296.0
1967,373563120.0
1968,394825312.0
1969,413412784.0
1970,437225120.0
1971,461070432.0
1972,492339008.0
1973,527539056.0
1974,489382160.0
1975,448436960.0
1976,439793584.0
1977,450327584.0
1978,456567376.0
1979,458483648.0
1980,447044640.0
1981,412885168.0
1982,374153024.0
1983,358885136.0
1984,360273792.0
1985,368118416.0
1986,394004576.0
1987,432128496.0
1988,447370736.0
1989,464199488.0
1990,553613225.4
1991,535058310.3
1992,551258531.0
1993,561160990.6
1994,586237720.0
1995,619380427.5
1996,671490103.1
1997,708027257.0
1998,753176974.8
1999,777916623.2
2000,788039117.9
2001,784340431.5
2002,803239387.9
2003,839092770.7
2004,910479076.1
2005,948914696.4
2006,1001919131.0
2007,1059592183.0
2008,1077662402.0
2009,1037253519.0
2010,1100956240.0
2011,1125021881.0
2012,1118539693.0
2013,1134168972.0
2014,1137738966.0
2015,1144622625.0
2016,1155307739.0
2017,1155307739.0
