Year,Annual CO₂ emissions (tonnes )
1900,1036912.0
1901,948976.0
1902,1047904.0
1903,1205456.0
1904,1366672.0
1905,1531552.0
1906,1582848.0
1907,1879632.0
1908,1722080.0
1909,1956576.0
1910,1883296.0
1911,2363280.0
1912,2249696.0
1913,2890896.0
1914,2835936.0
1915,2436560.0
1916,2517168.0
1917,3191344.0
1918,3905824.0
1919,5257840.0
1920,6837024.0
1921,8097440.0
1922,10237216.0
1923,13047504.0
1924,15956720.0
1925,16568608.0
1926,18067184.0
1927,20115360.0
1928,21093648.0
1929,20943424.0
1930,22896336.0
1931,22280784.0
1932,24537808.0
1933,27212528.0
1934,32349456.0
1935,35687360.0
1936,39333040.0
1937,45664432.0
1938,46181056.0
1939,52124064.0
1940,45521536.0
1941,36006128.0
1942,47470784.0
1943,52439168.0
1944,67707056.0
1945,86158960.0
1946,112807232.0
1947,134069424.0
1948,108626608.0
1949,117716992.0
1950,17096224.0
1951,26113328.0
1952,23281056.0
1953,27560608.0
1954,33188512.0
1955,50720752.0
1956,59946704.0
1957,62595776.0
1958,69311888.0
1959,70767738.3
1960,90275655.86
1961,94483808.9
1962,109295280.8
1963,123593168.6
1964,144769127.4
1965,172795072.3
1966,198950950.9
1967,205538852.6
1968,235957160.8
1969,268462790.0
1970,285360097.2
1971,334432022.7
1972,360837569.5
1973,428507539.1
1974,443724513.6
1975,434454396.4
1976,508018840.4
1977,534301008.2
1978,536267839.1
1979,570027855.8
1980,554429631.9
1981,551645281.9
1982,563858007.5
1983,594088852.8
1984,622527229.4
1985,670891727.9
1986,713596458.0
1987,729613185.3
1988,777142735.3
1989,821682902.6
1990,827473754.8
1991,906240524.5
1992,975501335.6
1993,1057877259.0
1994,1105336761.0
1995,1072980598.0
1996,1082843258.0
1997,1063353452.0
1998,1142514933.0
1999,1234756751.0
2000,1360259152.0
2001,1379449534.0
2002,1397903305.0
2003,1489191121.0
2004,1620716642.0
2005,1684303045.0
2006,1804735991.0
2007,1801937989.0
2008,1939392639.0
2009,2016404467.0
2010,2102264120.0
2011,2156960148.0
2012,2308104908.0
2013,2277197438.0
2014,2435067048.0
2015,2509630984.0
2016,2567181426.0
2017,2671942768.0
