Year,Annual CO₂ emissions (tonnes )
1900,662736992.0
1901,721525872.0
1902,764493600.0
1903,894404384.0
1904,880221040.0
1905,984498480.0
1906,1033339600.0
1907,1201802992.0
1908,1050974432.0
1909,1163352976.0
1910,1269227920.0
1911,1256385600.0
1912,1341210864.0
1913,1440113216.0
1914,1315698432.0
1915,1365268688.0
1916,1516258464.0
1917,1668468352.0
1918,1745584560.0
1919,1476951072.0
1920,1735889616.0
1921,1421972752.0
1922,1433327488.0
1923,1894009536.0
1924,1695592944.0
1925,1740898304.0
1926,1888535520.0
1927,1844838656.0
1928,1827786400.0
1929,1960338928.0
1930,1742210016.0
1931,1483080944.0
1932,1256400256.0
1933,1347183184.0
1934,1434390048.0
1935,1490262384.0
1936,1710695952.0
1937,1789563552.0
1938,1513418864.0
1939,1667863792.0
1940,1871490592.0
1941,2039213856.0
1942,2193896944.0
1943,2267184272.0
1944,2440377888.0
1945,2355340112.0
1946,2253033904.0
1947,2480762496.0
1948,2577052416.0
1949,2159990288.0
1950,2535942336.0
1951,2612369712.0
1952,2545080352.0
1953,2605745200.0
1954,2483052496.0
1955,2721721792.0
1956,2852903984.0
1957,2828611664.0
1958,2740924816.0
1959,2823004702.0
1960,2887820432.0
1961,2877369848.0
1962,2984001744.0
1963,3116022372.0
1964,3252755199.0
1965,3388192678.0
1966,3559179160.0
1967,3693298171.0
1968,3828306054.0
1969,4021502617.0
1970,4325500825.0
1971,4351308657.0
1972,4558452642.0
1973,4762452212.0
1974,4592958261.0
1975,4400795008.0
1976,4607168187.0
1977,4735366318.0
1978,4882964043.0
1979,4894042875.0
1980,4716716355.0
1981,4530369843.0
1982,4301970691.0
1983,4335916563.0
1984,4468262025.0
1985,4484338153.0
1986,4487855840.0
1987,4680834052.0
1988,4885590503.0
1989,4948021163.0
1990,5121264461.0
1991,5070839400.0
1992,5174059076.0
1993,5284687882.0
1994,5377987137.0
1995,5439213314.0
1996,5626186717.0
1997,5703890708.0
1998,5752324190.0
1999,5832250178.0
2000,6000606067.0
2001,5902454993.0
2002,5943651279.0
2003,5991319569.0
2004,6106620735.0
2005,6132005704.0
2006,6052236286.0
2007,6130983563.0
2008,5932775281.0
2009,5495394958.0
2010,5701075808.0
2011,5570706560.0
2012,5366730281.0
2013,5519612557.0
2014,5568759258.0
2015,5420804127.0
2016,5310861406.0
2017,5269529513.0
